SL NO,OFFICES,SANCTIONS Rs in crore,DISBURSEMENT Rs in crore,RECOVERYRs  in crore,,,,,,,,,,
1,JAYANAGAR,14.69,14.94,49.58,,,,,,,,,,
2,RAJAJINAGAR,29.19,18.18,29.76,,,,,,,,,,
3,M G ROAD,20.50,12.92,28.29,,,,,,,,,,
4,BENGALURU RURAL ,27.95,20.40,35.25,,,,,,,,,,
5,RAMANAGAR,12.99,10.82,17.84,,,,,,,,,,
6,TUMAKURU,40.69,20.64,36.10,,,,,,,,,,
7,KOLAR,35.45,33.20,31.08,,,,,,,,,,
8,CHICKBALLAPUR,9.41,7.02,17.44,,,,,,,,,,
9,MYSURU,40.08,24.68,75.01,,,,,,,,,,
10,MANDYA,11.20,9.64,11.60,,,,,,,,,,
11,MADIKERI,10.36,6.95,8.87,,,,,,,,,,
12,CHAMARAJANAGAR,12.22,7.98,9.33,,,,,,,,,,
13,MANGALURU,7.20,6.31,19.12,,,,,,,,,,
14,UDIPI,10.15,5.71,8.42,,,,,,,,,,
15,HASSAN,14.32,13.35,18.85,,,,,,,,,,
16,CHIKMAGALUR,15.53,10.29,19.10,,,,,,,,,,
7,HUBBALLI,22.81,13.07,50.09,,,,,,,,,,
18,HAVERI,13.26,7.06,11.40,,,,,,,,,,
19,GADAG,6.55,6.22,15.00,,,,,,,,,,
20,KARWAR,3.48,5.89,6.64,,,,,,,,,,
21,CHITRADURGA,7.88,8.31,21.27,,,,,,,,,,
22,SHIVAMOGGA,11.20,6.13,10.26,,,,,,,,,,
23,BELAGAVI,18.96,12.81,28.39,,,,,,,,,,
24,BAGALKOT,8.74,5.88,18.39,,,,,,,,,,
25,KALABURAGI,8.31,27.28,33.80,,,,,,,,,,
26,YADGIR,3.75,5.37,9.63,,,,,,,,,,
27,RAICHUR,14.51,9.78,12.84,,,,,,,,,,
28,BIDAR,15.13,16.47,14.54,,,,,,,,,,
29,KOPPAL  ,8.82,8.12,27.06,,,,,,,,,,
30,BALLARI,6.45,4.89,27.67,,,,,,,,,,
31,DAVANAGERE,15.51,11.85,20.44,,,,,,,,,,
32,VIJAYAPURA,15.96,14.3,18.83,,,,,,,,,,
